prioridade,nome_publico,canal_publico,perfil_publico,encaixe,status,observacao
1,Tudo para Eletricista,Instagram/YouTube,https://tudoparaeletricista.com.br/,rotina de obra e profissionalização,não contatado,"Propor demo de orçamento real; validar audiência antes do contato"
2,Família Eletricista,Instagram/TikTok/YouTube,https://linktr.ee/Familia.eletricista,orçamentos e conquista de clientes,não contatado,"Encaixe direto com orçamento + WhatsApp"
3,Irwin Gomes — Elétrica e Automação,YouTube,https://www.youtube.com/channel/UCaW_dKGa3MerJT2zG_rO52w,prática e bastidores de serviços,não contatado,"Convidar para teste com link individual"
4,Zergui Pfleger,YouTube,https://www.youtube.com/@zerguipfleger,conteúdo técnico acessível,não contatado,"Validar canal e contato comercial público"
5,Canal da Eletricidade — Prof. Ronaldo Lima,YouTube,https://www.youtube.com/@ProfRonaldoLima,elétrica industrial e solar,não contatado,"Propor caso de orçamento industrial simplificado"
6,Elétrica em Foco — Nelson Barbosa,YouTube,https://eletricaemfoco.com.br/aulas-gratuitas-de-instalacao-eletrica-residencial/,eletricista instalador,não contatado,"Usar formulário ou contato comercial público"
7,Portal da Elétrica,YouTube/Instagram,https://portaldaeletricaoficial.com/,estudantes e profissionais,não contatado,"Parceria editorial com tutorial"
8,Clube do Técnico,YouTube,https://www.youtube.com/@clubedotecnico,qualificação profissional,não contatado,"Testar conteúdo sobre apresentação profissional"
9,Elétrica sem Limites,YouTube,https://www.youtube.com/@eletrica-sem-limites,formação técnica aprofundada,não contatado,"Validar porte e aderência comercial"
10,Bertrand Eletricista,Conteúdo profissional,https://intch.org/17506615,prática e marketing para eletricistas,não contatado,"Localizar perfil social oficial antes de abordar"
