prioridade,dominio,segmento,ativo_sugerido,status,contato,ultima_acao,observacao
1,meitoolbox.com.br,portal MEI,checklist cobrança MEI,pesquisar,,,Conteúdo recente sobre ferramentas gratuitas
2,blog.yomei.com.br,gestão MEI,orçamento com Pix,pesquisar,,,Lista atual de aplicativos para MEI
3,piperp.com.br,gestão MEI,gerador de recibo,pesquisar,,,Ecossistema complementar de gestão e notas
4,199offices.com.br,coworking e MEI,kit incorporável,pesquisar,,,Conteúdo sobre automação gratuita
5,rotadomei.com.br,portal MEI,guia de orçamento,pesquisar,,,Validar complementaridade antes do contato
6,meumeiportal.com.br,portal MEI,checklist do orçamento ao recibo,pesquisar,,,Ferramentas de orçamento e recibo
7,firma.ie,contabilidade e MEI,guia para prestadores,pesquisar,,,Conteúdo editorial para autônomos
8,blog.balancinho.com.br,finanças MEI,calculadora e orçamento,pesquisar,,,Público de MEI e autônomos
9,meihub.online,portal MEI,orçamento e recibo,pesquisar,,,Ferramentas gratuitas para MEI
10,contabilidadehohl.com.br,contabilidade,embed de orçamento,pesquisar,,,Página pública de ferramentas
